record_type,task_name,difficulty_label,difficulty_order,train_count,stage,split_count,source_count,split_seeds,mean_probe_bit_accuracy,mean_probe_bit_accuracy_std,mean_probe_exact_accuracy,mean_probe_exact_accuracy_std,majority_vote_bit_accuracy,majority_vote_bit_accuracy_std,majority_vote_exact_accuracy,majority_vote_exact_accuracy_std,direct_pairwise_agreement,direct_pairwise_agreement_std,majority_fraction_agreement,majority_fraction_agreement_std,unanimously_same_prediction_bit_fraction,unanimously_same_prediction_bit_fraction_std,mean_prediction_entropy_bits,mean_prediction_entropy_bits_std,mean_pairwise_prediction_bit_hamming_distance,mean_pairwise_prediction_bit_hamming_distance_std,mean_pairwise_error_phi_correlation,mean_pairwise_error_phi_correlation_std,mean_pairwise_joint_error_lift,mean_pairwise_joint_error_lift_std,mean_pairwise_error_jaccard,mean_pairwise_error_jaccard_std,prediction_one_rate,prediction_one_rate_std,mean_train_steps,mean_train_steps_std,mean_train_fit_step,mean_train_fit_step_std,pilot_steps,pilot_steps_std,model_count,model_count_std,probe_count,probe_count_std
aggregated_summary,rule30_layer2,rule30 layer2,2.0,1800,plateau,1,1,[],0.8043643333333332,,0.0022099999999999997,,0.8759,,0.0256,,0.780006350877193,,0.849815,,0.29708666666666667,,0.46592140611633104,,0.219993649122807,,0.30123622090552415,,2.2406413691426756,,0.2799878781267692,,0.493925,,10200.0,,200.0,,10200.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,2200,plateau,1,1,[],0.938491,,0.16304000000000002,,0.98658,,0.6696,,0.9052182105263157,,0.9416263333333335,,0.5813933333333333,,0.21614803700867108,,0.09478178947368421,,0.17963150779277498,,3.7821171481899873,,0.12877575722043835,,0.498273,,12100.0,,200.0,,12100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,3000,plateau,1,1,[],0.9991139999999998,,0.9737899999999999,,1.0,,1.0,,0.9982461754385964,,0.9991140000000003,,0.9837333333333333,,0.004913461210205054,,0.0017538245614035087,,0.009378395323279541,,12.108748487082417,,0.005034405954390079,,0.5005513333333333,,10200.0,,200.0,,10200.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,4500,plateau,1,1,[],0.9999986666666667,,0.9999600000000001,,1.0,,1.0,,0.9999973333333333,,0.9999986666666666,,0.9999733333333334,,7.637252189758834e-06,,2.666666666666667e-06,,-8.507693502282463e-06,,0.0,,0.0,,0.49950733333333336,,1200.0,,200.0,,1200.0,,20.0,,5000.0,
aggregated_summary,rule30_layer2,rule30 layer2,2.0,6000,plateau,1,1,[],0.9999993333333335,,0.9999800000000001,,1.0,,1.0,,0.9999986666666667,,0.9999993333333332,,0.9999866666666667,,3.818626094879417e-06,,1.333333333333333e-06,,,,,,0.0,,0.49832666666666664,,1200.0,,200.0,,1200.0,,20.0,,5000.0,
aggregated_summary,rule30_layer3,rule30 layer3,3.0,100,plateau,1,1,[],0.5499573333333333,,0.0,,0.5521400000000001,,0.0,,0.8731654035087717,,0.9133893333333335,,0.5895066666666666,,0.26911592622506064,,0.12683459649122808,,0.743775443726612,,1.908905586798736,,0.7529859752160294,,0.5141993333333333,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer3,rule30 layer3,3.0,200,plateau,1,1,[],0.5585026666666667,,0.0,,0.5655600000000001,,0.0,,0.7942092631578945,,0.8586353333333333,,0.35264666666666666,,0.434265000266519,,0.20579073684210525,,0.5827515941911089,,1.7375208471472787,,0.6224935210600624,,0.5063253333333333,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer3,rule30 layer3,3.0,300,plateau,1,1,[],0.5682553333333333,,0.0,,0.5772666666666666,,0.0,,0.7811198596491229,,0.8485240000000001,,0.3273333333333333,,0.4596186191330952,,0.2188801403508772,,0.5539334413143996,,1.7291079246530676,,0.5955860820927933,,0.5086426666666667,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer3,rule30 layer3,3.0,400,plateau,1,1,[],0.5766823333333334,,0.0,,0.5886333333333333,,0.0,,0.7715163157894737,,0.841663,,0.30193333333333333,,0.4793074730499533,,0.22848368421052628,,0.5320377379401707,,1.7248620730818827,,0.5750584810215605,,0.501667,,10100.0,,100.0,,10100.0,,20.0,,5000.0,
aggregated_summary,rule30_layer3,rule30 layer3,3.0,600,plateau,1,1,[],0.5884773333333334,,0.0,,0.60798,,0.0,,0.7402811228070175,,0.8187606666666667,,0.22948,,0.5417811382610482,,0.2597188771929825,,0.46378491500547653,,1.6632624019489586,,0.5202970070173099,,0.5027766666666666,,10100.0,,105.0,,10100.0,,20.0,,5000.0,
