depth_mid,easy,fraction_replicas_rate_positive,hard,ratio_growth_rate_max,ratio_growth_rate_median,ratio_growth_rate_min,threshold_high,threshold_low
6.176674943937908,parity2,0.0,mux3,-5.589868356352219,-7.906430253775076,-9.795984395168245,0.00220577811891,0.00195634969253
6.296674943936634,parity2,0.0,mux3,-5.196572248073156,-7.877079330060712,-8.972462591980067,0.00195634969253,0.00173512652367
6.416674943937635,parity2,0.0,mux3,-4.873005220501793,-7.2652236668690335,-8.981283747714615,0.00173512652367,0.00153891917413
6.536674943939238,parity2,0.0,mux3,-4.948725974469433,-6.551285789039745,-8.569084945309474,0.00153891917413,0.00136489886599
6.656674943939317,parity2,0.0,mux3,-4.120532797559248,-6.195734165952038,-8.409180206135462,0.00136489886599,0.0012105566983
6.776674943937397,parity2,0.0,mux3,-4.5600534045128205,-5.768741694214707,-8.160436300748854,0.0012105566983,0.00107366747553
6.896674943939244,parity2,0.0,mux3,-3.8050925787373404,-5.356563993657306,-6.363805784603779,0.00107366747553,0.00095225762628
7.016674943940956,parity2,0.0,mux3,-3.6272132280140466,-4.993670428412095,-6.119311662519294,0.00095225762628,0.00084457674977
7.136674943937584,parity2,0.0,mux3,-3.4198262840304396,-4.5365758073472895,-5.788551652044485,0.00084457674977,0.00074907237975
7.256674943936167,parity2,0.0,mux3,-3.237373779568467,-4.951467489363061,-6.24415006849389,0.00074907237975,0.00066436760218
7.376674943941916,parity2,0.0,mux3,-3.635377681502561,-4.232046147334051,-5.753368953045974,0.00066436760218,0.00058924120386
7.496674943946479,parity2,0.0,mux3,-3.708554414248063,-3.8243979631540324,-4.6464350452238,0.00058924120386,0.00052261006586
7.6166749439407315,parity2,0.0,mux3,-2.7763990114397648,-3.446057831099515,-5.0518428193937925,0.00052261006586,0.00046351354785
0.4166749439387326,parity3,1.0,random_balanced,1011.0574701282181,1001.2843449445188,992.3215076627391,0.7,0.62084430570201
0.5366749439387303,parity3,1.0,random_balanced,1409.2054483315142,1355.3090385552694,1325.901087998961,0.62084430570201,0.55063950274659
0.6566749439387318,parity3,1.0,random_balanced,1363.9623589496277,1281.3838090428596,1252.1758892468301,0.55063950274659,0.48837342824972
0.7766749439387325,parity3,1.0,random_balanced,1406.2816327829769,1303.154700632375,1284.3927399876031,0.48837342824972,0.4331483742643
