depth,easy,easy_transition,easy_transition_brackets,fraction_replicas_ratio_positive,hard,hard_transition,hard_transition_brackets,log_volume_ratio_easy_over_hard_median,log_volume_ratio_max,log_volume_ratio_min,threshold
5.636674943938574,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-84.72704985739989,-81.720454112276,-94.80758357518175,0.00356470155489
5.756674943938374,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-85.70887866200843,-82.76799775420216,-95.85284041654802,0.00316160665983
5.876674943939907,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-86.66644396164878,-83.68219798233349,-96.96797196829198,0.00280409355946
5.996674943940723,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-87.49613597851237,-84.67347282509058,-98.01761799063206,0.00248700788435
6.116674943939235,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-88.3594427812912,-85.5549592620813,-98.95776680126994,0.00220577811891
6.23667494393658,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-89.19802126848265,-86.55538065123915,-100.13328492866412,0.00195634969253
6.356674943936687,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-89.98883550008304,-87.5016242602062,-101.20998043970269,0.00173512652367
6.476674943938584,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-90.76495245143053,-88.3556021046146,-102.28773448944548,0.00153891917413
6.5966749439398935,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-91.51623095575741,-89.14290050400814,-103.31602468289384,0.00136489886599
6.71667494393874,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-92.19932024410258,-89.98792929606225,-104.3251263076204,0.0012105566983
6.836674943936054,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-92.86923795658663,-90.70516535498905,-105.30437866368834,0.00107366747553
6.956674943942435,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-93.45937823977187,-91.29211377254876,-106.0680353578814,0.00095225762628
7.0766749439394765,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-94.05055715418644,-91.8893287613297,-106.80235275736561,0.00084457674977
7.196674943935692,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-94.58359418628277,-92.46696715135636,-107.49697895558904,0.00074907237975
7.316674943936642,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-95.23335020625194,-93.21626515958155,-108.18699749624761,0.00066436760218
7.4366749439471915,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-95.84277491211168,-93.70351109773776,-108.74263605238968,0.00058924120386
7.556674943945765,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-96.35026168535069,-94.24714230387497,-109.20309022247795,0.00052261006586
7.676674943935698,parity2,"[64, 80]","{""n50"": [48, 64], ""n90"": [64, 80]}",0.0,mux3,"[80, 112]","{""n50"": [64, 80], ""n90"": [96, 112]}",-96.91845523562608,-94.67738136303615,-109.59990504271127,0.00046351354785
0.35667494393873245,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",0.04212870329359489,0.048178605695575916,0.03456790173259178,0.7
0.47667494393873283,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",120.1966996188996,121.37507502108215,119.12652341051052,0.62084430570201
0.5966749439387276,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",282.54403364688585,289.5193711077883,279.24982693877564,0.55063950274659
0.7166749439387359,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",435.6950454553455,446.29917129767716,432.7254857796913,0.48837342824972
0.8366749439387292,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",592.6147066128871,610.4238040310497,587.8685814534772,0.4331483742643
0.9566749439387285,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",764.1010626142186,801.0545366474119,757.9162811746471,0.38416814526582
1.0766749439387329,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",944.1189809463538,1002.6760203364367,928.1732901854803,0.34072657917198
1.1966749439387185,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",1128.6816295879648,1203.227132412947,1099.64859178495,0.30219736640036
1.3166749439387264,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",1302.2135684826053,1387.7395195380577,1257.3642814565794,0.26802502018258
1.4366749439387214,parity3,"[96, 112]","{""n50"": [80, 96], ""n90"": [96, 112]}",1.0,random_balanced,"[241, 241]","{""n50"": [240, null], ""n90"": [240, null]}",1466.0652690073046,1564.5044328235495,1406.5380903324567,0.23771686795146
