condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
12,6,2,-451.0705608912053,3,uniform_random,0.0048828125,parity2,0.1,1.0,0.9423395652432893,0.9131426130022321
13,6,5,-338.44738974833683,0,uniform_random,0.0,mux3,0.1,1.0,0.911782613926385,0.8495374407087054
13,6,6,-338.8805202231558,1,uniform_random,0.0,mux3,0.1,1.0,0.9136350515774119,0.8429630824497768
13,6,3,-336.3894843192098,2,uniform_random,0.0,mux3,0.1,1.0,0.9120436394253731,0.8424224853515625
13,6,6,-338.02876243234306,3,uniform_random,0.0,mux3,0.1,1.0,0.9139362936600927,0.840911865234375
14,7,4,-409.2752475397331,0,uniform_random,0.0,parity2,0.1,1.0,0.9298095639231683,0.8770076206752232
14,7,3,-409.49212260687847,1,uniform_random,0.0,parity2,0.1,1.0,0.9302621075110189,0.8808789934430804
14,7,4,-409.2324549516687,2,uniform_random,0.0,parity2,0.1,1.0,0.9278897976241363,0.8767569405691964
14,7,4,-408.6424715910243,3,uniform_random,0.0,parity2,0.1,1.0,0.9260193910425044,0.8738686697823661
15,7,4,-318.2687139078749,0,uniform_random,0.0,mux3,0.1,0.9970703125,0.9634168098956062,0.8257032121930804
15,7,5,-318.6555167062635,1,uniform_random,0.0,mux3,0.1,0.99609375,0.9624902673439518,0.8286677769252232
15,7,6,-319.7765250494332,2,uniform_random,0.0,mux3,0.1,0.99560546875,0.9629421123648666,0.8260912214006696
15,7,6,-319.620345413679,3,uniform_random,0.0,mux3,0.1,0.99755859375,0.9621528744223362,0.8243321010044643
16,0,1,-429.5740338095076,0,cell_balanced,0.19482421875,parity2,0.1,1.0,0.9611780178739086,0.9750082833426339
16,0,3,-439.42037571996184,1,cell_balanced,0.16748046875,parity2,0.1,1.0,0.9581198707296773,0.9730813162667411
16,0,1,-431.0263556861536,2,cell_balanced,0.16552734375,parity2,0.1,1.0,0.9576564674076611,0.9726388113839286
16,0,1,-428.31423965197473,3,cell_balanced,0.2109375,parity2,0.1,1.0,0.9597353429752381,0.9745265415736607
17,0,3,-377.6051699480055,0,cell_balanced,0.53369140625,mux3,0.1,1.0,0.9913409092860742,0.9946550641741071
17,0,2,-376.4779563849418,1,cell_balanced,0.51416015625,mux3,0.1,1.0,0.9914361103288677,0.9946681431361607
17,0,3,-378.4020092968241,2,cell_balanced,0.501953125,mux3,0.1,1.0,0.9904083948390283,0.9941755022321429
17,0,3,-377.89576623819033,3,cell_balanced,0.49853515625,mux3,0.1,1.0,0.9908731186229358,0.9942779541015625
18,1,1,-433.5714018724825,0,cell_balanced,0.0537109375,parity2,0.1,1.0,0.9640865311285517,0.9615674700055804
18,1,2,-435.36873118873575,1,cell_balanced,0.0361328125,parity2,0.1,1.0,0.9557328419522635,0.9531751360212054
18,1,1,-426.29797871569536,2,cell_balanced,0.0546875,parity2,0.1,1.0,0.9626091302119227,0.9634508405412946
18,1,2,-424.59310267670656,3,cell_balanced,0.07763671875,parity2,0.1,1.0,0.9657160130488214,0.9662301199776786
19,1,4,-327.74520084912695,0,cell_balanced,0.0,mux3,0.1,1.0,0.9290433339642018,0.8384726388113839
19,1,5,-327.36725081972855,1,cell_balanced,0.0,mux3,0.1,1.0,0.9294348147086983,0.8327811104910714
19,1,4,-328.5634618857981,2,cell_balanced,0.0,mux3,0.1,1.0,0.9287379004799051,0.8321402413504464
19,1,5,-329.8241585257217,3,cell_balanced,0.0,mux3,0.1,1.0,0.9281169042907412,0.8300083705357143
20,2,2,-447.6553797784793,0,cell_balanced,0.18994140625,parity2,0.1,1.0,0.9636290485872727,0.9702410016741071
20,2,4,-453.79848703099907,1,cell_balanced,0.0,parity2,0.1,1.0,0.9498361489953995,0.9164058140345982
