cohort_copy_x1_full_agreement_mean,cohort_copy_x2_full_agreement_mean,conflict_fraction_mean,copy_x1_accuracy_mean,copy_x2_accuracy_mean,dataset_count,maximum_cell_count_mean,minimum_cell_count_mean,modal_copy_x1_full_agreement_mean,modal_copy_x2_full_agreement_mean,n,optimizer_name,recovery_rate,sampling_protocol,semantic_repetitions,target_mass_mean,target_name,unseen_agreement_mean,unseen_target_accuracy_mean
0.5015439987182617,0.5020589828491211,0.75,0.5,0.4988839285714286,128,14.0,14.0,0.503021240234375,0.503387451171875,56,adamw,0.0546875,conflict_enriched,14.0,0.411376953125,parity2,0.980653588079637,0.9776062011718751
0.5009965896606445,0.5012369155883789,0.75,0.5,0.5,128,16.0,16.0,0.501434326171875,0.501617431640625,64,adamw,0.328125,conflict_enriched,16.0,0.672119140625,parity2,0.9911869008054015,0.9914105733235676
0.5004253387451172,0.5006370544433594,0.75,0.5,0.5002170138888888,128,18.0,18.0,0.500579833984375,0.500640869140625,72,adamw,0.6640625,conflict_enriched,18.0,0.828369140625,parity2,0.9957761617395686,0.9960539444633152
0.5004558563232422,0.5004501342773438,0.75,0.5,0.5,128,20.0,20.0,0.500335693359375,0.500335693359375,80,adamw,0.859375,conflict_enriched,20.0,0.9443359375,parity2,0.998901725164956,0.9990456321022727
0.5002031326293945,0.5002031326293945,0.75,0.5,0.4998224431818182,128,22.0,22.0,0.50006103515625,0.50006103515625,88,adamw,0.921875,conflict_enriched,22.0,0.966064453125,parity2,0.9993252380652362,0.9995277041480655
0.5001459121704102,0.5001459121704102,0.75,0.5,0.5,128,24.0,24.0,0.50006103515625,0.50006103515625,96,adamw,0.96875,conflict_enriched,24.0,0.986083984375,parity2,0.9996478665259576,0.9997299194335938
0.5000219345092773,0.5000219345092773,0.75,0.5,0.5,128,26.0,26.0,0.5,0.5,104,adamw,0.9921875,conflict_enriched,26.0,0.995361328125,parity2,0.9999070483274087,0.9999469957853618
0.4999990463256836,0.4999990463256836,0.75,0.5,0.5,128,28.0,28.0,0.5,0.5,112,adamw,1.0,conflict_enriched,28.0,0.999755859375,parity2,0.9999966091579862,0.9999983045789931
0.7316350936889648,0.7326383590698242,0.75,0.625,0.625,128,6.0,2.0,0.734375,0.72906494140625,32,adamw,0.0,conflict_enriched,4.0,0.068603515625,mux3,0.9611302388977894,0.9282368251255582
0.7419929504394531,0.7435550689697266,0.75,0.6246093749999999,0.6253906250000001,128,8.0,2.0,0.743927001953125,0.743804931640625,40,adamw,0.1171875,conflict_enriched,5.0,0.319580078125,mux3,0.9798270422640382,0.9708907515914352
0.7474737167358398,0.7477025985717773,0.75,0.625,0.625,128,9.0,3.0,0.748565673828125,0.748992919921875,48,adamw,0.375,conflict_enriched,6.0,0.635986328125,mux3,0.9925283427273961,0.9907637376051682
0.7485637664794922,0.7498703002929688,0.75,0.6244419642857142,0.6255580357142858,128,11.0,3.0,0.749237060546875,0.750457763671875,56,adamw,0.75,conflict_enriched,7.0,0.866943359375,mux3,0.9975398500504032,0.9972656249999999
0.7496833801269531,0.7499103546142578,0.75,0.625,0.625,128,12.0,4.0,0.74993896484375,0.75006103515625,64,adamw,0.890625,conflict_enriched,8.0,0.955078125,mux3,0.9993054789881551,0.999542236328125
0.7499256134033203,0.7499542236328125,0.75,0.6251085069444444,0.6248914930555556,128,14.0,4.0,0.75,0.75,72,adamw,0.9609375,conflict_enriched,9.0,0.987060546875,mux3,0.999798147407521,0.9998726222826086
0.7499971389770508,0.7499971389770508,0.75,0.625,0.625,128,15.0,5.0,0.75,0.75,80,adamw,1.0,conflict_enriched,10.0,0.999267578125,mux3,0.9999916770241477,0.9999958385120739
0.7499971389770508,0.7499971389770508,0.75,0.6249112215909091,0.6250887784090909,128,17.0,5.0,0.75,0.75,88,adamw,1.0,conflict_enriched,11.0,0.999267578125,mux3,0.9999912806919642,0.9999956403459822
0.75,0.75,0.75,0.625,0.625,128,18.0,6.0,0.75,0.75,96,adamw,1.0,conflict_enriched,12.0,1.0,mux3,1.0,1.0
0.75,0.75,0.75,0.625,0.625,128,20.0,6.0,0.75,0.75,104,adamw,1.0,conflict_enriched,13.0,1.0,mux3,1.0,1.0
0.75,0.75,0.75,0.625,0.625,128,21.0,7.0,0.75,0.75,112,adamw,1.0,conflict_enriched,14.0,1.0,mux3,1.0,1.0
